sex,age,Medu,Fedu,Mjob,Fjob,reason,studytime,failures,schoolsup
F,18,4,4,at_home,teacher,course,2,0,yes
F,17,1,1,at_home,other,course,2,0,no
F,15,1,1,at_home,other,other,2,3,yes
F,15,4,2,health,services,home,3,0,no
F,16,3,3,other,other,home,2,0,no
M,16,4,3,services,other,reputation,2,0,no
M,16,2,2,other,other,home,2,0,no
F,17,4,4,other,teacher,home,2,0,yes
M,15,3,2,services,other,home,2,0,no
M,15,3,4,other,other,home,2,0,no
F,15,4,4,teacher,health,reputation,2,0,no
F,15,2,1,services,other,reputation,3,0,no
M,15,4,4,health,services,course,1,0,no
M,15,4,3,teacher,other,course,2,0,no
M,15,2,2,other,other,home,3,0,no
F,16,4,4,health,other,home,1,0,no
F,16,4,4,services,services,reputation,3,0,no
F,16,3,3,other,other,reputation,2,0,yes
M,17,3,2,services,services,course,1,3,no
M,16,4,3,health,other,home,1,0,no
M,15,4,3,teacher,other,reputation,2,0,no
M,15,4,4,health,health,other,1,0,no
M,16,4,2,teacher,other,course,2,0,no
M,16,2,2,other,other,reputation,2,0,no
F,15,2,4,services,health,course,3,0,yes
F,16,2,2,services,services,home,1,2,no
M,15,2,2,other,other,home,1,0,no
M,15,4,2,health,services,other,1,0,no
M,16,3,4,services,other,home,2,0,yes
M,16,4,4,teacher,teacher,home,2,0,no
M,15,4,4,health,services,home,2,0,no
M,15,4,4,services,services,reputation,2,0,no
M,15,4,3,teacher,at_home,course,2,0,no
M,15,3,3,other,other,course,2,0,no
M,16,3,2,other,other,home,1,0,no
F,15,2,3,other,other,other,1,0,no
M,15,4,3,teacher,services,home,3,0,no
M,16,4,4,other,teacher,reputation,3,0,no
F,15,3,4,services,health,course,3,0,yes
F,15,2,2,at_home,other,reputation,1,0,yes
F,16,2,2,other,other,home,2,1,no
M,15,4,4,teacher,other,home,1,0,no
M,15,4,4,services,teacher,course,2,0,no
M,15,2,2,services,services,course,1,0,yes
F,16,2,2,other,at_home,course,2,1,yes
F,15,4,3,other,other,course,2,0,yes
F,16,3,3,other,services,home,2,0,no
M,16,4,3,health,services,reputation,4,0,no
M,15,4,2,teacher,other,home,2,0,no
F,15,4,4,services,teacher,other,2,1,yes
F,16,2,2,services,services,course,2,0,no
F,15,4,2,health,other,other,2,0,no
M,15,4,2,health,health,other,1,1,no
F,15,4,4,services,services,course,1,0,yes
F,15,3,3,other,other,other,1,0,no
F,16,2,1,other,other,other,2,0,no
F,15,4,3,services,services,reputation,2,0,no
M,15,4,4,teacher,health,reputation,2,0,no
M,15,1,2,other,at_home,home,2,0,yes
F,16,4,2,services,other,course,2,0,no
F,16,4,4,health,teacher,other,2,0,no
